structureNumber,flowChartResult,randomForest,NDOTResult
C001032325,No,,Yes,
C001032605,Yes,,,
C001032615,Yes,Yes,No,
C001032740,Yes,,,
C001032760,Yes,,,
C001033025,Yes,,,
C001034545,No,,Yes,
C001034710,Yes,,,
C001040245,No,,No,
C001040250,Yes,,,
C001040255,Yes,,,
C001040425,No,Yes,No,
C001041205,Yes,,,
C001042330,Yes,,,
C001042815,No,,No,
C001043135,No,Yes,Yes,
C001043210,No,,No,
C001043215,No,,No,
C001043225,Yes,,,
C001043635,Yes,,,
C001044215,No,,No,
C001044220,No,,No,
C001044615,Yes,,,
C001044617,Yes,,,
C001044620,Yes,,No,
C001044715,Yes,,Yes,
C001044810,No,,No,
C001051030,No,,No,
C001051210,No,,No,
C001051213,Yes,,No,
C001051215,Yes,Yes,No,
C001051220,Yes,,,
C001051225,Yes,,,
C001063825,Yes,,,
C001063830,Yes,,,
C001063845,Yes,,,
C001063850,Yes,,No,
C001100105,No,,No,
C001100110,No,,No,
C001100130,Yes,,No,
C001100135,Yes,No,No,
C001100305,Yes,,No,
C001100307,No,,,
C001100310,No,,No,
C001100315,Yes,,No,
C001100325,Yes,,Yes,
C001100330,Yes,,No,
C001100335,Yes,,No,
C001100340,Yes,,No,
C001100345,Yes,,No,
C001100505P,Yes,,No,
C001100510P,Yes,,No,
C001100520P,Yes,,No,
C001100525P,Yes,No,No,
C001100705P,No,,No,
C001100810P,No,,No,
C001100905P,Yes,,No,
C001101205,Yes,Yes,No,
C001101205P,Yes,,No,
C001101405,Yes,,No,
C001101405P,Yes,,No,
C001101410,Yes,,No,
C001101410P,No,,No,
C001101505,No,,No,
C001101515,No,,No,
C001101520,Yes,,No,
C001101605P,Yes,,No,
C001101610P,Yes,,No,
C001101615P,Yes,,No,
C001101705,Yes,No,No,
C001101715,Yes,,No,
C001101720,Yes,No,No,
C001102305,Yes,,No,
C001102310,Yes,,,
C001102410,Yes,,No,
C001102415,No,No,No,
C001102420,Yes,No,No,
C001102425,Yes,,No,
C001102505,Yes,No,No,
