structureNumber,flowChartResult,randomForest,NDOTResult
S071 05511R,Yes,,,
S071 05587,Yes,,,
S071 05587A,Yes,,,
S071 05610,No,,,
S071 05745,Yes,,,
S071 05850L,No,,,
S071 05850R,No,,,
S071 05865,Yes,,,
S071 05911L,No,,,
S071 05911R,No,,,
S071 06050L,Yes,,,
S071 06050R,Yes,,,
S071 06113L,No,,,
S071 06113R,No,,,
S071 06165,Yes,,,
S071 06544,Yes,,No,
S071 06747,Yes,,,
S071 07037,Yes,,,
S071 07320,Yes,,,
S071 11336,Yes,,,
S071 11727,Yes,,No,
S071 11957,Yes,,,
S071 13199,Yes,,,
S071 13373,Yes,,,
S071 13773,No,,Yes,
S071 13924,Yes,,,
S071 14032,Yes,,,
S071 14117,Yes,,,
S071 14205,No,,Yes,
S071 14237,Yes,,Yes,
S071 14523,Yes,,,
S071 14755,No,,Yes,
S073 00222,Yes,,No,
S073 00234,Yes,,,
S073 00248,No,,No,
S073 00265,Yes,,,
S073 00292,Yes,,,
S073 00299,Yes,,,
S073 00350,No,No,No,
S073 00687,Yes,,No,
S073 00712,Yes,,No,
S073 00726,Yes,,No,
S073 01004,Yes,,,
S073 01103,No,,No,
S073 01232,Yes,,No,
S073 01402,Yes,,,
S073 01571,No,,No,
S073 01612,No,,No,
S074 00774,Yes,,,
S074 01340,No,,No,
S074 01898,Yes,,No,
S074 02115,Yes,,,
S074 03030,Yes,,No,No
S074 03502,Yes,,No,
S074 03949,Yes,,No,
S074 05336,Yes,Yes,Yes,
S074 05418,Yes,,,
S074 06114,No,,Yes,
S074 07174,No,,No,
S074 07506,Yes,,,
S075 00127,Yes,,No,
S075 00472,Yes,,,
S075 00546,No,No,No,
S075 00596,Yes,,No,
S075 00871,Yes,,No,
S075 01302,Yes,,,
S075 01512,Yes,No,No,
S075 01684,No,,No,
S075 01884,Yes,,Yes,
S075 02834,Yes,,No,
S075 02868,Yes,,No,
S075 02880,Yes,,No,
S075 02894,Yes,,,
S075 02919,Yes,,,
S075 02937,Yes,,,
S075 03588,Yes,,,
S075 04418,Yes,,,
S075 04736L,No,,,
S075 04736R,No,,,
S075 04848A,Yes,,,
S075 04848L,Yes,,,
S075 04848R,Yes,,,
S075 04868L,No,,,
S075 04896,No,,,
S075 04939,Yes,,,
S075 05194,Yes,,No,
S075 05309,No,,No,
S075 05774,Yes,,No,
S075 05807,Yes,,No,
S075 05834,Yes,,No,
S075 07234,No,,No,
S075 07630L,Yes,,Yes,
S075 07630R,Yes,,Yes,
S075 07698L,No,,No,
S075 07698R,No,,No,
S075 07916,No,,,
S075 07920,Yes,,,
S075 07926A,Yes,,,
S075 07939,No,,,
S075 08003L,Yes,,,
S075 08003R,Yes,,,
S075 08037L,No,,,
S075 08037R,No,,,
S075 08173,Yes,,,
S075 08173A,Yes,,,
S075 08192L,No,,,
S075 08192R,No,,,
S075 08248L,Yes,,,
S075 08248R,Yes,,,
S075 08323,No,,,
S075 08344,Yes,,,
S075 08444,No,,,
S075 08495L,No,,,
S075 08495R,No,,,
S075 08580L,No,,,
S075 08580R,No,,,
S075 08663,No,,No,
S075 08682,No,,No,
S075 08730L,No,,,
S075 08730R,No,,,
S075 08766,No,,No,
S075 09074,No,,No,
S075 09076,No,,No,
S075 09084,No,,No,
S075 09102A,No,,No,
S075 09102B,No,,No,
S075 09102C,No,,,
S075 09102D,No,,,
S075 09102E,No,,,
S075 09106,No,,No,
S075 09109L,No,,,
S075 09109R,No,,,
S075 09137,No,,No,
S075 09169,No,,No,
S075 09202,No,,,
S075 09233,No,,No,
S075 09255,No,,No,
S075 09302,No,,No,
S075 09327,No,,No,
S075 09341,No,,Yes,
S075 09354A,No,,Yes,
S075 10299,Yes,,,
S075 10742,No,,No,
S075 10985,No,,No,
S075 11457,Yes,,,
S075 11877,Yes,,,
S075 11925,Yes,,No,
S075 12252,Yes,,,
S075 12479,No,,No,
S075 12533,Yes,,No,
S075 12649,Yes,No,No,
S075 12935,No,,No,
S075 12957,Yes,,,
S075 13280,Yes,,No,
S075 13377,Yes,,,
S075 13601,No,,No,
S075 14314,Yes,,,
S075 14855,No,,No,
S075 15000,No,,No,
S075 15730,Yes,,No,
S075 15781,Yes,,No,
S075 16302,Yes,,,
S075 16807,Yes,,,
S075 17062,Yes,,No,
S075 17193,Yes,,No,
S075 17596,No,,No,
S075 17750,Yes,,No,
S075 18205L,No,,No,
S075 18205R,No,,No,
S076 00126L,No,,No,
S076 00126R,No,,No,
S076 00176,No,,No,
S077 00107,Yes,,,
S077 00199,Yes,,,
S077 00775,No,No,No,
S077 00938,Yes,,No,
S077 01143,Yes,No,No,
S077 01829,Yes,,,
S077 02097,No,,No,
S077 02160,No,,No,
S077 02364,Yes,,No,
S077 03005,Yes,,,
S077 03075,Yes,,,
S077 03378L,No,,,
S077 03378R,No,,,
S077 03928L,No,,,
S077 03928R,No,,,
S077 04398,Yes,,,
S077 05006L,Yes,,,
S077 05006R,Yes,,,
S077 05024L,No,,,
S077 05024R,No,,,
S077 05077,Yes,,,
S077 05099A,Yes,,,
S077 05665L,No,,No,
S077 05665R,No,,No,
S077 05693L,No,,No,
S077 05693R,No,,No,
S077 05755,Yes,,,
S077 05831,Yes,,,
S077 06027A,Yes,,,
S077 06027B,Yes,,,
S077 06027L,Yes,,,
S077 06027R,Yes,,,
S077 06064L,No,,,
S077 06064R,No,,,
S077 06134,No,,,
S077 06152,Yes,,,
S077 06176,No,,,
S077 06205L,No,No,No,
S077 06205R,No,,No,
S077 06207L,No,,No,
S077 06232L,No,No,No,
S077 06232R,No,No,No,
S077 06274L,No,,No,
S077 06274R,No,No,No,
S077 07899L,Yes,,,
S077 07899R,Yes,,,
S077 08008,Yes,,,
S077 08039L,No,,,
S077 08039R,No,,,
S077 08048L,Yes,,,
S077 08048R,Yes,,,
S077 08066L,Yes,,,
S077 08066R,Yes,,,
S077 08081L,No,,,
S077 08081R,Yes,,,
S077 08606L,No,,,
S077 08606R,No,,,
S077 09205,Yes,,,
S077 09234,Yes,,,
S077 09356,Yes,,,
S077 09368,Yes,,,No
S077 09410,Yes,,No,
S077 09791,No,,No,
S077 09993,Yes,,,
S077 10726,Yes,,No,Yes
S077 11144,No,,No,Yes
S077 11185,Yes,,No,No
S077 11368,No,,No,
S077 11540,Yes,,,
S077 11601,No,,,
S077 11803,Yes,,,
S077 12165,Yes,,,
S077 12173L,No,,,
S077 12173R,Yes,,,
S077 12219L,Yes,,,
S077 12219R,Yes,,,
S077 12359,Yes,,,
S077 12497,No,,,
S077 12668,Yes,,No,
S077 12685,Yes,,No,
S077 12752,Yes,,No,
S077 13643,Yes,,No,
S077 14011,Yes,,No,
S077 14731,Yes,,,
S077 16180,Yes,,,
S077 16309,Yes,,,
S077 16541,Yes,,,
S077 16671,Yes,,,
S077 16945,Yes,,,
S077 18870,No,,Yes,
S077A00022,Yes,,,
S078 00132,Yes,,,
S078 00354,Yes,,,
S078 00402,Yes,,Yes,
S078 00423,Yes,,No,
S078 00461,Yes,,Yes,
S078 00566,No,,Yes,
S078 01091,Yes,,No,
S079 00206,Yes,,,
S079 00448,No,,No,
S079 00468,Yes,,,
S079 00480,Yes,,,
S079 00604,Yes,,,
S079 00690,Yes,,,
S079 00804R,Yes,,,
S079 00813,Yes,,,
S079 00948,No,,No,
S079 01252,Yes,,No,
S079 01404,No,,No,
S079 02159,No,,No,
S079 02447,Yes,,No,
S079 02719,No,No,No,
S079 03048,No,,No,
S079 03108,No,,No,
S079 03396,Yes,,,
S079 03459,No,,No,
S079 03977,Yes,,No,
S079 04137,Yes,,,
S079 04229,Yes,,No,
S079 04291,Yes,,No,
S079 04389,Yes,,,
S079 04446,Yes,,,
S079 04495,Yes,,,
S079 04696,Yes,,,
S079 04748,Yes,,,
S079 05122,Yes,,No,
S079 05257,Yes,,,
S079 05622,Yes,,,
S079 05979,Yes,,No,
S080 00048,No,,No,
S080 00526L,No,,No,
S080 00526R,No,,No,
S080 00648L,No,,No,
S080 00648R,No,,No,
S080 00846,No,,No,
S080 01346,No,,No,
S080 01762,No,,No,
S080 02071L,No,,Yes,
S080 02071R,No,,No,
S080 02269L,No,,No,
S080 02269R,No,,No,
S080 02474,No,,No,
S080 02775,No,,No,
S080 02842,Yes,,,
S080 02976,No,,No,
S080 03052,Yes,,,
S080 03171,No,,No,
S080 03378,Yes,,,
S080 03471,No,,No,
S080 03563,Yes,,,
S080 03683,No,,No,
S080 03896L,No,,No,
S080 03896R,No,,No,
S080 04193,No,,No,
S080 04376,Yes,,,
S080 04396,No,,No,
S080 04459,Yes,,,
S080 04882,No,,No,
S080 05035L,No,,No,
S080 05035R,No,,No,
S080 05420L,No,,No,
S080 05420R,No,,No,
S080 05466L,Yes,,No,
S080 05466R,Yes,,Yes,
S080 05537,No,,No,
S080 05545L,Yes,,,
S080 05549,Yes,,,
S080 05553R,Yes,,,
S080 05620L,No,,No,
S080 05620R,No,,Yes,
S080 05864L,No,,Yes,
S080 05864R,No,,Yes,
S080 05992L,No,No,Yes,
S080 05992R,No,,Yes,
S080 06462,No,,No,
S080 06763,No,,No,
S080 06963,No,,No,
S080 07164,No,,No,
S080 07365,No,,No,
S080 07661L,No,,No,Yes
S080 07661R,No,,Yes,Yes
S080 07690L,Yes,,No,Yes
S080 07690R,Yes,,Yes,Yes
S080 08067,No,,No,
S080 08079,Yes,,,
S080 08110,Yes,,,
S080 08236,Yes,,,
S080 08295L,No,,No,Yes
S080 08295R,No,,Yes,Yes
S080 08434,Yes,,,
S080 08522,No,,No,
S080 08804L,No,,No,
S080 08804R,No,,No,
S080 08880L,No,,No,
S080 08880R,No,,No,
S080 09068,No,,No,
S080 09343,Yes,,,
S080 09502,No,,Yes,Yes
S080 09700L,No,,No,Yes
S080 09700R,No,,No,Yes
S080 10116,Yes,,,
S080 10116L,Yes,,,
S080 10116R,Yes,,,
S080 10119L,No,,No,Yes
S080 10119R,No,,Yes,Yes
S080 10202L,No,,No,Yes
S080 10202R,No,,No,Yes
S080 10259L,No,,No,
S080 10259R,No,,No,
S080 10427,No,,No,
S080 10736,No,,No,
S080 10932,No,,No,
S080 11185,No,,No,
S080 11445,No,,No,
S080 11725,No,No,No,
S080 12163,No,,No,
S080 12255L,No,,No,
S080 12255R,No,,No,
S080 12540,Yes,,,
S080 12600,Yes,,,
S080 12669,No,,No,
S080 12691,Yes,,,
S080 12794,Yes,,,
S080 12996,No,,No,
S080 13397,No,No,No,
S080 13578,Yes,,,
S080 13702,No,,No,
S080 13836,Yes,,,
S080 13907,Yes,,,
S080 14033L,Yes,,No,
S080 14033R,Yes,,No,
S080 14114,No,,No,
S080 14567,No,,No,
S080 14602L,No,,,
S080 14602R,No,,,
S080 14918,No,No,No,
S080 15551,No,,No,
S080 15749,Yes,,,
S080 15803L,No,,No,
S080 15803R,No,,No,
S080 16152,No,,No,
S080 16453,No,No,No,
S080 16962,No,,No,
S080 17372,No,,No,
S080 17567,No,,,
S080 17718,No,,No,
S080 17719,No,,No,
S080 17770L,Yes,,No,
S080 17770R,Yes,,No,
S080 17922,No,,No,
S080 17975,No,,No,
S080 18049,Yes,,,
S080 18181L,Yes,,No,
S080 18181R,Yes,,No,
S080 18257,Yes,,,
S080 18470L,No,Yes,Yes,
S080 18470R,No,,No,
S080 18494,No,,No,
S080 19045,No,,No,
S080 19243,No,,No,
S080 19679,No,,No,
S080 19784,Yes,,,
S080 19900,No,,No,
S080 20100L,Yes,,No,
S080 20100R,Yes,,No,
S080 20310,No,,No,
S080 20375,Yes,,,
S080 20376,Yes,,,
S080 20705,No,,No,
S080 21005,Yes,,,
S080 21088L,No,No,No,
S080 21088R,No,,No,
S080 21180,No,,Yes,Yes
S080 21627L,No,No,No,
S080 21627R,No,No,No,
S080 21733,Yes,,,
S080 21735,No,,No,
S080 21848L,No,,No,
S080 21848R,No,,No,
S080 22067,No,,No,
S080 22125,Yes,,,
S080 22189,Yes,,,
S080 22225L,No,,No,
S080 22225R,No,,No,
S080 22249,No,,No,
S080 22527L,No,,No,
S080 22527R,No,,No,
S080 22866,Yes,,,
S080 23113,No,,No,
S080 23457,No,,No,
S080 23722,No,,No,
S080 24007,No,,No,
S080 24347,No,,No,
S080 24823,Yes,,,
S080 24856,No,,No,
S080 24982L,No,,No,
S080 24982R,No,No,No,
S080 25059,No,,No,
S080 25237,Yes,,,
S080 25451L,No,No,No,
S080 25451R,No,No,No,
S080 25461,No,,No,
S080 25704,No,,No,
S080 25850L,Yes,Yes,No,
S080 25850R,Yes,,No,
S080 25908,No,,No,
S080 25947L,Yes,,No,
S080 25947R,Yes,,No,
S080 26063L,Yes,,No,
S080 26063R,Yes,,No,
S080 26193,No,No,No,
S080 26369,No,,No,
S080 27140,No,No,No,
S080 27264,No,,No,
S080 27265,No,,No,
S080 27367,No,,No,
S080 27562,No,,,
S080 27675,No,,No,
S080 27711L,No,No,No,
S080 27711R,No,,No,
S080 27992,No,,No,
S080 28566,No,,No,
S080 28726,No,,No,
S080 28830,No,,No,
S080 29038,No,,No,
S080 29139L,No,,No,
S080 29139R,No,,No,
S080 29338,No,,No,
S080 29769,Yes,,,
S080 29906,No,,No,
S080 30013,No,,No,
S080 30465,No,,No,
S080 30569,No,,No,
S080 30781,No,,No,
S080 31102L,Yes,No,No,
S080 31102R,Yes,,No,
S080 31128L,No,,No,
S080 31128R,No,Yes,No,
S080 31145L,No,,No,
S080 31145R,No,No,No,
S080 31210,No,,No,
S080 31211,No,No,No,
S080 31263L,No,,No,
S080 31263R,No,,No,
S080 31361L,Yes,No,No,
S080 31361R,Yes,No,No,
S080 31414,No,,No,
S080 31414A,Yes,,,
S080 31446B,Yes,,,
S080 31446L,Yes,,No,
S080 31446R,Yes,,No,
S080 31619,No,,No,
S080 31817,No,,No,
S080 32019,No,,No,
S080 32219,No,,No,
S080 32351,Yes,,,
S080 32417,No,,No,
S080 32617,No,,No,
S080 32744L,Yes,,No,
S080 32744R,Yes,,No,
S080 32793L,No,,No,
S080 32793R,No,,No,
S080 32815L,No,,No,
S080 32815R,No,,No,
S080 32938L,Yes,,No,
S080 32938R,No,,No,
S080 33011,No,,No,
S080 33114L,No,,No,
S080 33114R,No,,No,
S080 33144L,No,,No,
S080 33144R,No,,No,
S080 33218,No,,No,
S080 33318,No,,No,
S080 33515,No,,No,
S080 33615,No,,No,
S080 33677,Yes,,,
S080 33815,No,,No,
S080 34015,No,,No,
S080 34201,Yes,,,
S080 34201L,Yes,,,
S080 34201R,Yes,,,
S080 34214,No,No,No,
S080 34413,No,,No,
S080 34513,No,,No,
S080 34714,No,,No,
S080 34812,No,,No,
S080 35113,No,,No,
S080 35213,No,,No,
S080 35312,No,No,No,
S080 35313,No,,No,
S080 35415,No,,No,
S080 35714,No,,No,
S080 35815,No,,No,
S080 36014,No,,No,
S080 36153L,No,,No,
S080 36153R,No,,No,
S080 36212,No,,No,
S080 36314L,No,,No,
S080 36314R,No,,No,
S080 36413,No,,No,
S080 36616,No,,Yes,
S080 36684L,Yes,,No,
S080 36684R,Yes,No,No,
S080 36747,Yes,,,
S080 36915,No,,No,
S080 37055,Yes,,,
S080 37114,No,,No,
S080 37312,No,,No,
S080 37456,Yes,,,
S080 37512,No,,No,
S080 37612,No,,No,
S080 37731L,No,,No,
S080 37731R,No,,No,
S080 37811,No,,No,
S080 37911,No,,No,
S080 38012,No,,No,
S080 38062L,No,,No,
S080 38062R,No,,No,
S080 38096L,Yes,,No,
S080 38096R,Yes,Yes,No,
S080 38211,No,No,No,
S080 38276,Yes,,,
S080 38312,No,,No,
S080 38413,No,,No,
S080 38614L,Yes,,No,
S080 38614R,Yes,,No,
S080 38690,Yes,,,
S080 38738L,No,,No,
S080 38738R,No,,No,
S080 38814,No,,No,Yes
S080 39012,No,,No,
S080 39112,No,,No,
S080 39165L,No,,No,
S080 39165R,No,,No,
S080 39213,No,,No,
S080 39294L,No,,No,
S080 39294R,No,,No,
S080 39312,No,Yes,No,
S080 39516,No,,Yes,
S080 39562R,No,,Yes,
S080 39714,No,,No,
S080 39730,No,,No,
S080 39730A,No,,No,
S080 39731,No,,No,
S080 39843,Yes,,,
S080 39904R,No,,No,
S080 40066,No,,No,
S080 40079,Yes,,,
S080 40105,No,,No,
S080 40106,No,,No,
S080 40202,No,,No,Yes
S080 40350,No,,No,
S080 40375A,Yes,,,
S080 40375L,Yes,,No,
S080 40375R,Yes,,No,
S080 40436,No,,,
S080 40476,No,,No,
S080 40577L,No,,No,
S080 40577R,No,,No,
S080 40677,No,,No,Yes
S080 40777,No,,No,
S080 40797L,Yes,,No,Yes
S080 40797R,Yes,,No,Yes
S080 40872A,No,,,
S080 40872L,Yes,,No,Yes
S080 40872R,Yes,,No,Yes
S080 40877,No,,No,Yes
S080 40927L,Yes,,No,Yes
S080 40927R,Yes,,No,Yes
S080 40977L,No,,No,Yes
S080 40977R,No,,No,
S080 41079,Yes,,,
S080 41134,No,,No,
S080 41204,Yes,,,
S080 41238,No,No,No,
S080 41336,Yes,,,
S080 41341,No,,No,
S080 41444,No,,No,
S080 41465L,Yes,,No,
S080 41465R,Yes,,No,
S080 41527,Yes,,,
S080 41653L,Yes,No,No,
S080 41653R,Yes,,No,
S080 41673,No,,No,
S080 41856L,Yes,,No,
S080 41856R,Yes,,No,
S080 41944,No,,,
S080 42094,No,,No,
S080 42215L,Yes,No,No,
S080 42215R,Yes,No,No,
S080 42235,No,,No,
S080 42270L,Yes,,No,
S080 42270R,Yes,,No,
S080 42350,No,,No,
S080 42626,No,No,No,
S080 42666,Yes,,,
S080 42697L,No,,No,
S080 42697R,No,,No,
S080 42729L,Yes,,No,
S080 42729R,Yes,,No,
S080 42770L,Yes,,No,
S080 42770R,Yes,,No,
S080 42831L,Yes,,No,
S080 42831R,Yes,No,No,
S080 43063,No,,,
S080 43297,No,,No,
S080 43418,No,,No,
S080 43555,No,,No,
S080 43776,No,,No,
S080 43922,No,,,
S080 44066,No,,No,
S080 44207,Yes,,,
S080 44292,No,,,Yes
S080 44324,No,,No,
S080 44342,Yes,,,Yes
S080 44443,Yes,,,
S080 44459,No,No,No,
S080 44507,No,Yes,No,
S080 44508,No,,No,
S080 44537,No,,No,
S080 44572,No,,,
S080 44574L,No,,,
S080 44574R,No,,No,
S080 44575,No,,,
S080 44576,No,,,
S080 44577,No,,,Yes
S080 44602,No,,,
S080 44606L,No,,,
S080 44606R,No,,,
S080 44625,No,,No,
S080 44725,No,,No,
S080 44827L,No,Yes,No,
S080 44827R,No,,No,
S080 44846A,Yes,No,No,
S080 44846L,Yes,,No,
S080 44846R,Yes,,No,
S080 44927L,No,No,No,
S080 44927R,No,,No,
S080 44984,Yes,,,
S080 45028L,No,,No,
S080 45028R,No,,No,
S080 45103L,No,,No,
S080 45103R,No,,No,
S080 45180L,No,No,No,
S080 45180R,No,,No,
S080 45231,No,,No,
S080 45252,No,,,
S080 45266,No,,No,
S080 45283L,No,,No,
S080 45283R,No,,No,
S080 45297,No,,No,
S080 45298A,No,,No,
S080 45298L,No,,No,
S080 45298R,No,,No,
S080 45301,No,,,
S080 45303A,No,,No,
S080 45303B,No,,No,
S080 45308,No,,No,
S080 45314L,No,,No,
S080 45314R,No,,No,
S080 45316,No,,No,
S080 45334,No,,,
S080 45335,No,,,
S080 45337,No,,No,
S080 45361,No,,No,
S080 45389,No,,No,Yes
S080 45413,No,,No,
S080 45433,No,,No,
S080 45461,No,,No,
S080 45531L,Yes,,,
S080 45531R,No,,,
S081 00485L,No,,,
S081 00485R,No,,,
S081 01069,Yes,,,
S081 01147,Yes,,,
S081 01200,Yes,,,
S081 01219L,Yes,,,
S081 01219R,Yes,,,
S081 01235,Yes,,,
S081 01625,Yes,,,
S081 01662L,Yes,,,
S081 01662R,Yes,,,
S081 01847L,No,,,
S081 01847R,No,,,
S081 01856L,No,,,
S081 01856R,No,,,
S081 02180,Yes,,,
S081 02540,Yes,,,
S081 02723L,Yes,,,
S081 02723R,Yes,,,
S081 02910,Yes,,,
S081 03750L,Yes,,,
S081 03750R,Yes,,,
S081 03932L,Yes,,,
S081 03932R,Yes,,,
S081 04335,Yes,,,
S081 04546L,No,,,
S081 04546R,No,,,
S081 05152L,Yes,,,
S081 05152R,Yes,,,
S081 05220,Yes,,,
S081 05250L,Yes,,,
S081 05250R,Yes,,,
S081 05362L,Yes,,,
S081 05362R,Yes,,,
S081 05542,Yes,,,
S081 06123,Yes,,,
S081 06259,No,,,
S081 06464,No,,No,
S081 06780,No,,No,
S081 07797,Yes,,No,
S081 07815,Yes,,No,
S081 08265,Yes,,,
S081 08490R,No,,No,
S081 08543,No,,No,
S081 08578,Yes,,No,
S081 10734A,Yes,,,
S081 10748,Yes,,,
S081 10761L,Yes,,,
S081 10761R,Yes,,,
S081 10787L,Yes,,,
S081 10787R,Yes,,,
S081 10880,Yes,,,
S081 10942L,Yes,,No,
S081 10942R,Yes,,No,
S081 10997,Yes,,No,
S081 11485,Yes,,,
S081 11598,Yes,,,
S081 11938L,Yes,,,
S081 11938R,Yes,,,
S081 11978L,Yes,,,
S081 11978R,Yes,,,
S081 12016L,Yes,,,
S081 12016R,Yes,,,
S081 12051L,No,,,
S081 12051R,No,,,
S081 13428L,Yes,,,
S081 13428R,Yes,,,
S081 14108,Yes,,,
S081 14288L,No,,,
S081 14288R,No,,,
S081 14448,Yes,,,
S081 15491,Yes,No,No,
S081 15568,No,,No,
S081 15616,Yes,,,
S081 15862L,Yes,,,
S081 15871,Yes,,,
S081 15956,Yes,,,
S081 15971L,Yes,,,
S081 15971R,Yes,,,
S081 15996,Yes,,,
S081 16034,Yes,,,
S081 16054L,Yes,,,
S081 16054R,Yes,,,
S081 16132,Yes,,,
S081 16191,Yes,,,
S081 16577,Yes,,,
S081 16590,Yes,,,
S081 16877,Yes,,,
S081 17161,Yes,,No,
S081 17727,Yes,,No,
S081 17820,No,,No,
S081 18005,Yes,,No,
S081 18972,Yes,,,
S081 19065,Yes,,,
S081 19383,Yes,,No,
S081 19495,Yes,,,
S081 19696,No,,No,
S081 19850,Yes,,No,
S081 20306,Yes,,No,Yes
S081 20319,Yes,,,
S081 20809,Yes,,No,
S081 21489,Yes,,,
S083 01212,Yes,No,No,
S083 01364,Yes,,No,
S083 01432,No,,No,
S083 02604,No,,Yes,
S083 04289,Yes,,,
S083 04610,No,,No,
S083 05519,Yes,,No,
S083 07765L,Yes,,No,
S083 07765R,Yes,,No,
S083 07971,Yes,,,
S083 08052L,Yes,,No,
S083 08052R,No,,No,
S083 08198L,Yes,,No,Yes
S083 08198R,No,,Yes,Yes
S083 08355,No,,,
S083 08457,Yes,,No,
S083 08588,Yes,,,
S083 11325,Yes,,,
S083 13344R,No,,No,
S083 13350,Yes,,No,
S083 14787,Yes,,No,
S083 14810,No,,,
S083 17024,No,,No,
S083 19849,Yes,,No,
S083 21414,Yes,,No,
S083 21739,Yes,,,
S084 00579,Yes,Yes,No,
S084 00762,Yes,,,
S084 00825,Yes,,No,
S084 00895,Yes,No,No,
S084 01627,Yes,,,
S084 01789,No,,No,No
S084 02033,Yes,,,
S084 02161,No,,No,Yes
S084 02254,No,,No,
S084 02348,Yes,,,
S084 02394,Yes,,,
S084 02687,Yes,,,
S084 03063,Yes,,,
S084 03225,Yes,,,
S084 03381,No,,No,Yes
S084 03412,Yes,,No,
S084 04020,Yes,,,
S084 04362,Yes,,No,
S084 04418,Yes,,No,
S084 04482,Yes,,,
S084 04571,Yes,,,
S084 04644,Yes,,No,
S084 05117,Yes,,,
S084 05136,Yes,No,No,
S085 00108,No,,Yes,
S085 00402,Yes,,No,Yes
S087 00827,Yes,,,
S087 01592,Yes,,,
S087 02276,Yes,,,
S087 03059,Yes,,,
S087 03312,Yes,,,
S087 03647,Yes,,,
S087 03809,Yes,,,
S087 03961,Yes,,,
S087 03976,Yes,,,
S087 04142,Yes,,,
S087 04394,Yes,,,
S087 05644,Yes,,,
S087 05647,Yes,,,
S087 05702,Yes,,,
S087 06418,Yes,,,
S087 06736,Yes,,,
S087 07103,Yes,,,
S087 07316,Yes,,,
S087 07512,Yes,,,
S088 00647,Yes,,,
S088 00907,Yes,,,
S088 00937,Yes,,,
S088 00991,Yes,,,
S088 01491,Yes,,,
S088 01675,Yes,,,
S088 01936,Yes,,,
S088 02616,Yes,,No,
S088 02801,Yes,,No,
S088 03306,Yes,,No,
S088 03667,Yes,,,
S088 03911,Yes,,,
S088 04121,Yes,No,No,
S088 04206,Yes,,No,
S088 04223,Yes,,No,
S088 04289,Yes,,No,
S088 04522,Yes,,No,
S088 05117,Yes,,,
S088 05357,Yes,,No,
S088 05695,Yes,,,
S089 00364,Yes,,Yes,
S089 00441,No,,Yes,
S089 00506,No,,Yes,
S089 00602,Yes,,,
S089 00681,Yes,,,
S089 00736,Yes,,,
S089 00798,No,,Yes,
S089 01045,Yes,,Yes,
S089 01240,Yes,,Yes,
S089 01358,Yes,,Yes,
S089 01514,Yes,,Yes,
S089 01608,Yes,,No,
S089 01720,Yes,,No,
S089 01942,Yes,No,No,
S089 02110,Yes,,No,
S089 02269,Yes,,No,
S089 02352,Yes,,,
S089 02449,Yes,,,
S089 02526,Yes,,,
S089 02595,Yes,,No,
S089 02691,Yes,,,
S089 02709,Yes,,No,
S089 02831,Yes,,,
S089 03067,Yes,,No,
S089 03274,Yes,,,
S089 03382,Yes,,,
S089 03529,Yes,,,
S089 03586,Yes,,,
S089 03805,Yes,,,
S089 03923,Yes,,,
S089 04017,Yes,,No,
S089 04084,Yes,,No,
S089 04223,Yes,,No,
S089 04327,Yes,,,
S089 04869,Yes,,,
S089 04965,No,,Yes,
S089 05119,No,,Yes,
S089 05267,Yes,,No,
S089 05367,Yes,,No,
S089 05581,Yes,,No,
S089 05737,Yes,,No,
S089 05962,Yes,No,No,
S089 06025,Yes,,No,
S089 06035,Yes,,No,
S089 06047,Yes,,,
S089 06062,Yes,,No,
S089 06328,No,,No,
S089 06429,No,,No,
S091 03900,Yes,,,
S091 04598,Yes,,,
S091 04731,Yes,,,
S091 04933,Yes,,,
S091 05170,Yes,,,
S091 05322,Yes,,,
S091 05636,Yes,,No,
S091 05803,Yes,,,
S091 05893,Yes,,,
S091 06687,Yes,,,
S091 10307,Yes,,No,
S091 10383,Yes,,,
S091 10498,Yes,,No,
S091 10782,Yes,,,
S091 10910,Yes,,,
S091 11033,Yes,,No,
S091 11063,Yes,,,
S091 11894,Yes,,No,
S091 12184,Yes,,,
S091 12234,Yes,,,
S091 12456,Yes,,,
S091 12620,Yes,,No,
S091 12834,No,,No,
S091 13006,Yes,,No,
S091 13325,Yes,,,
S091 13403,Yes,,,
S091 13885,Yes,,,
S091 13959,Yes,,,
S091 14103,Yes,,Yes,Yes
S091 14175,Yes,,No,Yes
S091 14656,Yes,,No,
S091 14788,Yes,,,
S091 15228,Yes,,,
S091 15250,Yes,,No,
S091 15478,Yes,,,
S091 15612,Yes,,,
S091 15860,No,,Yes,
S091 15881,Yes,,,
S091 16919,Yes,,No,
S091 17273,Yes,,No,
S091 17310,Yes,,,
S091 17846,Yes,,No,
S091 18294,Yes,,No,Yes
S091 18573,Yes,,No,Yes
S091 18606,Yes,,,
S091 19072,No,,No,
S091 21333,Yes,,,
S091 21367,Yes,,No,
S091 21718,Yes,,No,
S091 21743,Yes,,,
S091 21901,No,,No,
S091 22009,No,,No,
S091 22060,No,,No,
S091 22483,Yes,,,
S091 22610,Yes,,No,
S091 22949,Yes,,,
S092 00340,Yes,,,
S092 00574,Yes,,No,
S092 00876,Yes,,,
S092 01693,Yes,,,
S092 02005,Yes,,,
S092 02252,No,,,
S092 02714,Yes,No,No,
S092 03290,Yes,,,
S092 04153,Yes,,,
S092 06827,Yes,,,
S092 07000,Yes,,,
S092 07164,Yes,No,No,
S092 11551,Yes,,,
S092 22501,Yes,,,
