,BIR_PRJD_ITEM_008,BIR_PRJD_RT_008A,BIR_PRJD_ORIG_PLN,BIR_PRJD_OVERLAY,BIR_PRJD_CURB,BIR_PRJD_DEV_RPAR,BIR_PRJD_WIDENING,BIR_PRJD_PAINTING,BIR_PRJD_SHOP_PLN,BIR_PRJD_OTHER,BIR_PRJD_RE_DECK,BIR_PRJD_FORM_PRJ,BIR_PRJD_DSGN_CLS,BIR_PRJD_YEAR
2043,S021 03446,2,,,,,,,Y,,,8942,,
2044,S021 03446,3,,,,,Y,,,,,S-429(6)-1,H20,1967.0
2045,S021 03446,4,,,,,,,Y,,,10591,,
2046,S021 03446,5,,,Y,,,,,,,F-21-2(1005)-1C,,1986.0
2047,S021 03563,1,Y,,,,,,,,,WPSO-429-A2C,,1936.0
2048,S021 03563,2,,,,,,,,Y,,S-429(6),,1967.0
2049,S021 03563,3,,,,,,,,Y,,STD PLAN 1822-A2-R2,,
2050,S021 03563,4,,,,,,,,Y,,F-21-2(1005)STD.1208,HS20,1986.0
2051,S021 04303,1,Y,,,,,,,,,S-429(5),H15,1962.0
2052,S021 04427,1,Y,,,,,,,,,S-429(5),H15,1962.0
2053,S021 04427,2,,,,,,,,Y,,STD PLAN 1822-A2-R2,,
2054,S021 04569,1,Y,,,,,,,,,S-429(5)-1C,H15,1962.0
2055,S021 04569,2,,,,,,,,Y,,STD PLAN 1822-A2-R2,,
2056,S021 05160,1,Y,,,,,,,,,S-429(5)-1,HS20,1962.0
2057,S021 05160,2,,,,,,,Y,,,10300,,
2058,S021 05160,3,,,Y,,,,,,,F-21-3(102),,1986.0
2059,S021 05160,4,,,,,Y,,,,Y,EACSTPD-EACBH-21-3(103)-1,HS25,2003.0
2060,S021 05212,1,Y,,,,,,,,,S-429(5),T20,1962.0
2061,S021 05212,2,,,,,,,,Y,,STD PLAN 1822-A3-R2,,
2062,S021 05212,3,,,,,,,,Y,,STD PLAN 1822-A6-R2,,
2063,S021 05305,1,Y,,,,,,,,,EACSTPD-EACBH21-3(103)-3C,HS20,2003.0
2064,S021 05328,1,Y,,,,,,,,,EACSTPD-EACBH-21-3(103)-3,HS25,2003.0
2065,S021 05765,1,Y,,,,,,,,,EACSTPD-EACBH-21-3(103)-6,HS25,2003.0
2066,S021 05769,1,Y,,,,,,,,,S-190(3)-2,H15,1948.0
2067,S021 05769,2,,,,,,,Y,,,9439,,
2068,S021 06052,1,Y,,,,,,,,,EASSTPD-EACBH21-3(103)16C,HS20,2003.0
2069,S021 06054,1,Y,,,,,,,,,S-190(3),T20,1948.0
2070,S021 06054,2,,,,,,,,Y,,STD PLAN 1811-F2,,
2071,S021 06165,1,Y,,,,,,,,,EACSTPD-EACBH-21-3(103)-5,HS20,2003.0
2072,S021 06172,1,Y,,,,,,,,,S-190(3)-1,H15,1948.0
2073,S021 06172,2,,,,,,,Y,,,9440,,
2074,S021 07181,1,Y,,,,,,,,,STPD-21-3(104)-1C,HS20,2006.0
2075,S022 00879,1,Y,,,,,,,,,S-371(1),HS20,1970.0
2076,S022 00879,2,,,,,,,Y,,,10730,,
2077,S022 00879,3,,,Y,,,,,,,STPD-22-4(108)-1C,,2006.0
2078,S022 01055,1,Y,,,,,,,,,F-22-4(1002)-2C,HS20,1986.0
2079,S022 01454,1,Y,,,,,,,,,F-BRF-22-4(101)-1,HS20,1987.0
2080,S022 01454,2,,,,,,,Y,,,11730,,1987.0
2081,S022 01492,1,Y,,,,,,,,,F-BRF-22-4(101) STD 1304,HS20,1987.0
2082,S022 01611,1,Y,,,,,,,,,BRF-22-4(104)-2,HS20,1981.0
2083,S022 01611,2,,,,,,,Y,,,11295,,
2084,S022 01611,3,,,Y,,,,,,,F-22-4(1004)-2C,HS20,1999.0
2085,S022 01957,1,Y,,,,,,,,,BRF-22-4(104)-1,HS20,1981.0
2086,S022 01957,2,,,,,,,Y,,,11295,,
2087,S022 01957,3,,,Y,,,,,,,F-22-4(1004)-3C,HS20,1999.0
2088,S022 03466,1,Y,,,,,,,,,F-22-4(1006)-2,HS20,2002.0
2089,S022 03790,1,Y,,,,,,,,,F-279(2),H15,1963.0
2090,S022 03790,2,,,,,,,,Y,,STD PLAN 1822-A2-R2,,
2091,S022 04033,1,Y,,,,,,,,,F-279(2),H15,1963.0
2092,S022 04033,2,,,,,,,,Y,,STD PLAN 1822-A2-R2,,
2093,S022 05903,1,Y,,,,,,,,,F-295(4)-1,H20,1957.0
2094,S022 05903,2,,,,,,,Y,,,9839,,
2095,S022 05903,3,,,Y,,,,,,,F-22-5(1004)-1C,,1987.0
2096,S022 05903,4,,,Y,,,,,,,STPP-22-5(114)-1,,2002.0
2097,S022 06013,1,Y,,,,,,,,,F-295(4)-2,H20,1957.0
2098,S022 06013,2,,,,,,,Y,,,9840,,
2099,S022 06013,3,,,Y,,,,,,,F-22-5(1004)-1C,,1987.0
2100,S022 06312,1,Y,,,,,,,,,F-295(4)-3,H20,1957.0
2101,S022 06312,2,,,,,,,Y,,,9841,,
2102,S022 06312,3,,,Y,,,,,,,F-22-5(1004)-1C,,1987.0
2103,S022 06312,4,,,Y,,,,,,,STPP-22-5(114)-1,,2002.0
2104,S022 06567,1,Y,,,,,,,,,RF-329(10)-1,HS20,1970.0
2105,S022 06567,2,,,,,,,Y,,,10688,,
2106,S022 06567,3,,,Y,,,,,,,STPD-BR-39-2(105)-6C,HS20,2004.0
2107,S022 06970,1,Y,,,,,,,,,F-295(4),H15,1957.0
2108,S022 06970,2,,,,,,,,Y,,STD PLAN 1822-A2-R2,,
2109,S022 07139,1,Y,,,,,,,,,F-295(4)-5,H20,1957.0
2110,S022 07139,2,,,,,,,Y,,,9849,,
2111,S022 07139,3,,Y,,,,,,,,22(71.39)-1,,1974.0
2112,S022 07139,4,,,Y,,,,,,,F-22-5(1004)-1C,,1987.0
2113,S022 07274,1,Y,,,,,,,,,S-22-5(1013)-1,HS25,2005.0
2114,S022 07279,1,Y,,,,,,,,,UNKNOWN,,
2115,S022 07415,1,Y,,,,,,,,,F-22-5(1009)-1C,HS20,1993.0
2116,S022 07687,1,Y,,,,,,,,,306-A-3,,1936.0
2117,S022 07687,2,,Y,,,Y,,,,,F-22-5(102)-1,H20,1977.0
2118,S022 07687,3,,,,,,,Y,,,11103,,
2119,S022 07710,1,Y,,,,,,,,,F-22-5(102)-2,HS20,1977.0
2120,S022 07710,2,,,,,,,Y,,,11103,,
2121,S022 07731,1,Y,,,,,,,,,F-22-5(102),HS20,1976.0
2122,S022 07731,2,,,,,,,Y,,,9210,,
2123,S022 07944,1,Y,,,,,,,,,F-22-5(102),HS20,1977.0
2124,S022 08235,1,Y,,,,,,,,,SN-143-A(2)-3-1S,H15,1942.0
